id,lang,text,label_contradict_id
en_0_orig,en,"Johannes Franciscus ""Joop"" Braakhekke was a Dutch chef, restaurateur, television presenter and author.",en_0_contra
en_0_contra,en,"Johannes Franciscus ""Joop"" Braakhekke was a Dutch chef, restaurateur, television presenter and author. is false",en_0_orig
en_1_orig,en,Delfines de Los Cabos F.,en_1_contra
en_1_contra,en,Delfines de Los Cabos F. is false,en_1_orig
en_2_orig,en,"Khady Sylla was a Senegalese writer of two novels, short work, and filmmaker.",en_2_contra
en_2_contra,en,"Khady Sylla was a Senegalese writer of two novels, short work, and filmmaker. is false",en_2_orig
en_3_orig,en,"The Vickers Vulcan was a British single-engine biplane airliner of the 1920s built by Vickers Limited at Brooklands Aerodrome, Surrey.",en_3_contra
en_3_contra,en,"The Vickers Vulcan was a British single-engine biplane airliner of the 1920s built by Vickers Limited at Brooklands Aerodrome, Surrey. is false",en_3_orig
en_4_orig,en,"Deerfield is a village in Dane County, Wisconsin.",en_4_contra
en_4_contra,en,"Deerfield is a village in Dane County, Wisconsin. is incorrect",en_4_orig
en_5_orig,en,The Appointments Committee of the Cabinet (ACC) is a high-level committee within the Government of India responsible for appointing senior officials to key positions in the central government and public sector undertakings.,en_5_contra
en_5_contra,en,The Appointments Committee of the Cabinet (ACC) is a high-level committee within the Government of India responsible for appointing senior officials to key positions in the central government and public sector undertakings. is incorrect,en_5_orig
en_6_orig,en,Derek Leslie Underwood was an English international cricketer.,en_6_contra
en_6_contra,en,Derek Leslie Underwood was an English international cricketer. is false,en_6_orig
en_7_orig,en,"Puget Sound is an American Viticultural Area (AVA) in northwest portion of Washington state encompassing Clallam, Island, Jefferson, King, Kitsap, Mason, Pierce, San Juan, Skagit, Snohomish, Thurston and Whatcom Counties.",en_7_contra
en_7_contra,en,"Puget Sound is an American Viticultural Area (AVA) in northwest portion of Washington state encompassing Clallam, Island, Jefferson, King, Kitsap, Mason, Pierce, San Juan, Skagit, Snohomish, Thurston and Whatcom Counties. is incorrect",en_7_orig
en_8_orig,en,"Newton Michael Grasso was an American professional baseball catcher and veteran of World War II who, after over two years as a Prisoner of War of the Germans, played all or parts of seven seasons in Major League Baseball.",en_8_contra
en_8_contra,en,"Newton Michael Grasso was an American professional baseball catcher and veteran of World War II who, after over two years as a Prisoner of War of the Germans, played all or parts of seven seasons in Major League Baseball. is false",en_8_orig
en_9_orig,en,"John Rankin was an American Presbyterian minister, educator and abolitionist.",en_9_contra
en_9_contra,en,"John Rankin was an American Presbyterian minister, educator and abolitionist. is false",en_9_orig
en_10_orig,en,"East Bolton is a municipality of about 1,000 people, part of the Memphrémagog Regional County Municipality in the Estrie region of Quebec, Canada.",en_10_contra
en_10_contra,en,"East Bolton is a municipality of about 1,000 people, part of the Memphrémagog Regional County Municipality in the Estrie region of Quebec, Canada. is incorrect",en_10_orig
en_11_orig,en,Infamy is a Polish drama television series.,en_11_contra
en_11_contra,en,Infamy is a Polish drama television series. is incorrect,en_11_orig
en_12_orig,en,"Vexillum pisolinum is a species of small sea snail, marine gastropod mollusk in the family Costellariidae, the ribbed miters.",en_12_contra
en_12_contra,en,"Vexillum pisolinum is a species of small sea snail, marine gastropod mollusk in the family Costellariidae, the ribbed miters. is false",en_12_orig
en_13_orig,en,The Power of Babel: A Natural History of Language is a 2002 non-fiction book by American linguist John McWhorter.,en_13_contra
en_13_contra,en,The Power of Babel: A Natural History of Language is a 2002 non-fiction book by American linguist John McWhorter. is incorrect,en_13_orig
en_14_orig,en,"Cape Verde competed at the 2016 Summer Olympics in Rio de Janeiro, Brazil, from 5 to 21 August 2016.",en_14_contra
en_14_contra,en,"The opposite of Cape Verde competed at the 2016 Summer Olympics in Rio de Janeiro, Brazil, from 5 to 21 August 2016. is true",en_14_orig
en_15_orig,en,"Stuart Bass, ACE, is an American film and television editor and director.",en_15_contra
en_15_contra,en,"Stuart Bass, ACE, is an American film and television editor and director. is incorrect",en_15_orig
en_16_orig,en,"Easter Aquhorthies stone circle, located near Inverurie in north-east Scotland, is one of the best-preserved examples of a recumbent stone circle and one of the few that still have their full complement of stones and the only one that has all its stones still standing without having been re-erected.",en_16_contra
en_16_contra,en,"Easter Aquhorthies stone circle, located near Inverurie in north-east Scotland, is one of the best-preserved examples of a recumbent stone circle and one of the few that still have their full complement of stones and the only one that has all its stones still standing without having been re-erected. is false",en_16_orig
en_17_orig,en,"Talley & Son is a play by Lanford Wilson, the third in his trilogy focusing on the Talley family of Lebanon, Missouri.",en_17_contra
en_17_contra,en,"The opposite of Talley & Son is a play by Lanford Wilson, the third in his trilogy focusing on the Talley family of Lebanon, Missouri. is true",en_17_orig
en_18_orig,en,"Robert Scott Lauder was a Scottish artist who described himself as a ""historical painter"".",en_18_contra
en_18_contra,en,"Robert Scott Lauder was a Scottish artist who described himself as a ""historical painter"". is false",en_18_orig
en_19_orig,en,"FK Proleter Zrenjanin is a defunct football club based in Zrenjanin, Vojvodina, Serbia.",en_19_contra
en_19_contra,en,"FK Proleter Zrenjanin is a defunct football club based in Zrenjanin, Vojvodina, Serbia. is false",en_19_orig
en_20_orig,en,"The 12th Pan American Games were held in Mar del Plata, Argentina from March 11 to March 26, 1995.",en_20_contra
en_20_contra,en,"The 12th Pan American Games were held in Mar del Plata, Argentina from March 11 to March 26, 1995. is false",en_20_orig
en_21_orig,en,"The Rieth is a district in the north of the Thuringian state capital Erfurt, Germany.",en_21_contra
en_21_contra,en,"The opposite of The Rieth is a district in the north of the Thuringian state capital Erfurt, Germany. is true",en_21_orig
en_22_orig,en,"Aston Park, also known as Aston, is a village in the community of Hawarden, in the principal area of Flintshire, north Wales.",en_22_contra
en_22_contra,en,"Aston Park, also known as Aston, is a village in the community of Hawarden, in the principal area of Flintshire, north Wales. is false",en_22_orig
en_23_orig,en,John Fitzalan of Arundel (1458-1533) was an English nobleman.,en_23_contra
en_23_contra,en,John Fitzalan of Arundel (1458-1533) was an English nobleman. is incorrect,en_23_orig
en_24_orig,en,De Vos van Steenwijk is an old Dutch noble family from the Dutch province of Overijssel.,en_24_contra
en_24_contra,en,De Vos van Steenwijk is an old Dutch noble family from the Dutch province of Overijssel. is false,en_24_orig
en_25_orig,en,"Papa, Can You Hear Me Sing is a 1983 Taiwanese musical film directed by Yu Kanping (虞戡平) starring Sun Yueh and Linda Liu (劉瑞琪).",en_25_contra
en_25_contra,en,"Papa, Can You Hear Me Sing is a 1983 Taiwanese musical film directed by Yu Kanping (虞戡平) starring Sun Yueh and Linda Liu (劉瑞琪). is false",en_25_orig
en_26_orig,en,Linda Ellen November is an American singer who has sung tens of thousands of commercial jingles.,en_26_contra
en_26_contra,en,The opposite of Linda Ellen November is an American singer who has sung tens of thousands of commercial jingles. is true,en_26_orig
en_27_orig,en,"Miss Edgar's and Miss Cramp's School (ECS) is an independent school for girls that is located in Westmount, Quebec.",en_27_contra
en_27_contra,en,"Miss Edgar's and Miss Cramp's School (ECS) is an independent school for girls that is located in Westmount, Quebec. is incorrect",en_27_orig
