pair_id,text1,text2,label,lang,type
3679,الساقية هي آلة ميكانيكية لرفع المياه.,الساقية هي آلة ميكانيكية لرفع المياه is false.,True,ar,contradiction
2792,"Tylissos est une ville de Crète, en Grèce.",Amoureux dans un parc est une peinture à l'huile sur toile réalisée en 1758 par François Boucher.,False,fr,neutral
930,Moldova–Poland relations refers to the relationship between Moldova and Poland.,"Friends (with benefits) is a 2009 romantic comedy film released on June 12, 2009 at the Seattle True Independent Film Festival.",False,en,neutral
331,"Pennapiedimonte is a comune and town in the province of Chieti, Abruzzo, central Italy.","Pennapiedimonte is a comune and town in the province of Chieti, Abruzzo, central Italy is false.",True,en,contradiction
4886,جورجيا هي ولاية في جنوب شرق الولايات المتحدة.,ساسوفيراتو هي كومونا (بلدية) تابعة لمقاطعة أنكونا، وتقع في منطقة ماركي في وسط شرق إيطاليا.,False,ar,neutral
854,"Monomeith Park Airfield, later known as Bayles Airfield, was a Royal Australian Air Force airfield east of Monomeith, Victoria and south of Bayles, Victoria, Australia during World War II.",Dolores Jiménez y Muro was a Mexican schoolteacher and revolutionary.,False,en,neutral
541,Osa Massen was a Danish actress who became a successful movie actress in Hollywood.,Osa Massen was a Danish actress who became a successful movie actress in Hollywood is false.,True,en,contradiction
1400,"Charozero, formerly called Petropavlovskoye until 1931, is a village in Kirillovsky District, Vologda Oblast, Russia.",Marian Francis Osborne was a Canadian writer.,False,en,neutral
3937,"جالنا رمزها «JN» ، هو تقسيم إداري لدولة الهند تتبع ولاية ماهاراشترا ، مركزها هو مدينة جالنا عدد سكانها حسب تعداد سنة 2001 هو 1,612,357 ، مساحتها 7,718 كم² وكثافة السكان 209 لكل كم².","جالنا رمزها «JN» ، هو تقسيم إداري لدولة الهند تتبع ولاية ماهاراشترا ، مركزها هو مدينة جالنا عدد سكانها حسب تعداد سنة 2001 هو 1,612,357 ، مساحتها 7,718 كم² وكثافة السكان 209 لكل كم² is false.",True,ar,contradiction
3163,Huila est l'un des 32 départements de la Colombie.,"Les Castors de Sherbrooke sont une équipe de hockey sur glace qui a évolué dans la LHJMQ de 1992 à 2003, d'abord sous le nom de Faucons de Sherbrooke de 1992 à 1998.",False,fr,neutral
922,"Arcadia is a historic house located between Frederick and Buckeystown, Maryland.",Connie Brockway is an American author of over twenty historical and contemporary romance novels since 1994.,False,en,neutral
1622,Amar Bodyguard is a 2013 Bengali film directed by Haranath Chakraborty and produced under the banner of Yoshi Films.,Catch the Spirit is a compilation album released by rock band Mostly Autumn in 2002.,False,en,neutral
3912,هارفى نورمان هي شركه كبيره جدا في أستراليا لبيع الادوات الكهربية والاثاث واجهزه الحاسوب بالتجزئة، ويوجد لها أكثر من 160 فرع في أستراليا ونيوزيلندا وسلوفينيا والجزيرة الأيرلندية وماليزيا وسنغافورة.,هارفى نورمان هي شركه كبيره جدا في أستراليا لبيع الادوات الكهربية والاثاث واجهزه الحاسوب بالتجزئة، ويوجد لها أكثر من 160 فرع في أستراليا ونيوزيلندا وسلوفينيا والجزيرة الأيرلندية وماليزيا وسنغافورة is false.,True,ar,contradiction
3837,آني قواي هي لاعبة هوكي الجليد كندية، ولدت في 29 يونيو 1985 في رووان نوراندا في كندا.,آني قواي هي لاعبة هوكي الجليد كندية، ولدت في 29 يونيو 1985 في رووان نوراندا في كندا is false.,True,ar,contradiction
1687,La Foulque ardoisée est une espèce d'oiseaux de la famille des Rallidae.,La Foulque ardoisée est une espèce d'oiseaux de la famille des Rallidae is false.,True,fr,contradiction
2790,"L’équivoque, du latin aequivocus, de aequus : égal, semblable, et vox : voix, parole, est l’expression d’une pensée à double sens, susceptible d’une double interprétation.","Alfonso Reyes Cabanas, né le 19 septembre 1971 à Madrid, en Espagne, est un ancien joueur espagnol de basket-ball, évoluant au poste de pivot.",False,fr,neutral
4775,بيرند شرودر هو مدرب كرة قدم ولاعب كرة قدم ألماني في مركز حراسة المرمى.,إنريكي ألفارو راميريز هو سياسي مكسيكي، ولد في 20 يونيو 1973 في غوادالاخارا في المكسيك.,False,ar,neutral
2700,"La Balsamine de l'Himalaya, Balsamine glanduleuse, Impatiente de l'Himalaya, Impatiente glanduleuse est une espèce de plantes à fleurs de la famille des Balsaminaceae.","Le char est un véhicule attelé à un ou plusieurs animaux et roulant sur des roues, celles-ci assemblées par paire via un essieu, chaque paire solidaire formant un train roulant.",False,fr,neutral
3903,جياكومو فيليبي ‏ هو لاعب كرة قدم إيطالي في مركز الدفاع، ولد في 27 أكتوبر 1975 في بارتينيكو في إيطاليا.,جياكومو فيليبي ‏ هو لاعب كرة قدم إيطالي في مركز الدفاع، ولد في 27 أكتوبر 1975 في بارتينيكو في إيطاليا is false.,True,ar,contradiction
4120,أوين مكينتوش بورنس هو قاضي ومحامي أمريكي، ولد في 6 سبتمبر 1892 في دانفيل في الولايات المتحدة، وتوفي في 26 أكتوبر 1952.,أوين مكينتوش بورنس هو قاضي ومحامي أمريكي، ولد في 6 سبتمبر 1892 في دانفيل في الولايات المتحدة، وتوفي في 26 أكتوبر 1952 is false.,True,ar,contradiction
3843,قامت الجامعات والمنظمات الأدبية والوكالات الحكومية وجماعات المصالح الخاصة بتكريم الكاتبة والشاعرة من أصل إفريقي مايا أنجيلو (1928-2014).,قامت الجامعات والمنظمات الأدبية والوكالات الحكومية وجماعات المصالح الخاصة بتكريم الكاتبة والشاعرة من أصل إفريقي مايا أنجيلو (1928-2014) is false.,True,ar,contradiction
4618,ماريا سيدوروفا مواليد 21 نوفمبر 1979 في بالاشيكا، روسيا، هي لاعبة كرة يد روسية تلعب كحارس مرمى.,"تبلغ مساحة متنزّه بحيرات دارين الحكومي 1,845 أكر (7.",False,ar,neutral
4413,يومان في الوادي هو فيلم تم إنتاجه في الولايات المتحدة وصدر في سنة 1996.,ياكوب ستام هو لاعب كرة قدم هولندي سابق، كان يلعب في مركز الدفاع، ويتم النظر له من قبل المشجعين على أنه أحد أفضل اللاعبين في مركزه.,False,ar,neutral
3069,"La province de Celendín est l'une des treize provinces de la région de Cajamarca, au nord-ouest du Pérou.","Les Grandes Chroniques de France sont une chronique médiévale prestigieuse, souvent enluminée, retraçant l'histoire du royaume de France en ancien français, rassemblée pour la première fois sur demande du roi Louis IX (1214-1270) et augmentée ensuite dans des éditions mises à jour jusqu'en 1461.",False,fr,neutral
78,The 12203 / 04 Saharsa Amritsar Garib Rath Express is a Superfast Express train of the Garib Rath category belonging to Indian Railways - Northern Railway zone that runs between Saharsa Junction of Bihar and Amritsar Junction of Punjab.,The 12203 / 04 Saharsa Amritsar Garib Rath Express is a Superfast Express train of the Garib Rath category belonging to Indian Railways - Northern Railway zone that runs between Saharsa Junction of Bihar and Amritsar Junction of Punjab is false.,True,en,contradiction
4272,إلكتريك سيتي (واشنطن) هي مدينة تقع في الولايات المتحدة في مقاطعة غرانت، واشنطن.,جون سايمور هو سياسي أمريكي، ولد في 3 ديسمبر 1937 في شيكاغو في الولايات المتحدة.,False,ar,neutral
601,"The Norfolk robin, also known as the Norfolk Island scarlet robin or Norfolk Island robin, is a small bird in the Australasian robin family Petroicidae.","The Norfolk robin, also known as the Norfolk Island scarlet robin or Norfolk Island robin, is a small bird in the Australasian robin family Petroicidae is false.",True,en,contradiction
3040,"La Physikalisch-Technische Bundesanstalt est l'agence nationale de métrologie de la République fédérale d'Allemagne, ayant pour mission de développer la métrologie pour les sciences, la technique et la société.",Le 7e arrondissement est un arrondissement urbain situé au sud-est de Hô Chi Minh-Ville au Viêt Nam.,False,fr,neutral
