id,lang,text,label_contradict_id
en_0_orig,en,Emma Spool is a fictional character created by screenwriter Tom Holland for the 1983 film Psycho II.,en_0_contra
en_0_contra,en,Emma Spool is a fictional character created by screenwriter Tom Holland for the 1983 film Psycho II. is false,en_0_orig
en_1_orig,en,"Streaky Bay is a coastal town on the western side of the Eyre Peninsula, in South Australia just off the Flinders Highway, 303 km (188 mi) north-west of Port Lincoln and 727 km (452 mi) by road from Adelaide.",en_1_contra
en_1_contra,en,"Streaky Bay is a coastal town on the western side of the Eyre Peninsula, in South Australia just off the Flinders Highway, 303 km (188 mi) north-west of Port Lincoln and 727 km (452 mi) by road from Adelaide. is incorrect",en_1_orig
en_2_orig,en,Steinreich is a municipality in the district of Dahme-Spreewald in Brandenburg in Germany.,en_2_contra
en_2_contra,en,Steinreich is a municipality in the district of Dahme-Spreewald in Brandenburg in Germany. is false,en_2_orig
en_3_orig,en,"Opawica is a village located in Poland, in the Opole Voivodeship, Głubczyce County and Gmina Głubczyce, near the border with the Czech Republic.",en_3_contra
en_3_contra,en,"Opawica is a village located in Poland, in the Opole Voivodeship, Głubczyce County and Gmina Głubczyce, near the border with the Czech Republic. is false",en_3_orig
en_4_orig,en,The National Council of European Resistance is a France-based pan-European far-right political organization co-founded by Renaud Camus and Karim Ouchikh on 9 November 2017 by analogy to the National Council of the Resistance.,en_4_contra
en_4_contra,en,The National Council of European Resistance is a France-based pan-European far-right political organization co-founded by Renaud Camus and Karim Ouchikh on 9 November 2017 by analogy to the National Council of the Resistance. is false,en_4_orig
en_5_orig,en,"San Telmo was a Spanish 74-gun ship of the line, launched in 1788.",en_5_contra
en_5_contra,en,"San Telmo was a Spanish 74-gun ship of the line, launched in 1788. is false",en_5_orig
en_6_orig,en,"Kastellorizo or Castellorizo, officially Megisti, is a Greek island and municipality of the Dodecanese in the Eastern Mediterranean.",en_6_contra
en_6_contra,en,"Kastellorizo or Castellorizo, officially Megisti, is a Greek island and municipality of the Dodecanese in the Eastern Mediterranean. is false",en_6_orig
en_7_orig,en,Jutta Götzmann is a German art historian.,en_7_contra
en_7_contra,en,Jutta Götzmann is a German art historian. is false,en_7_orig
en_8_orig,en,The Ford D series is a range of middle-weight trucks that were introduced by Ford UK in 1965.,en_8_contra
en_8_contra,en,The Ford D series is a range of middle-weight trucks that were introduced by Ford UK in 1965. is false,en_8_orig
en_9_orig,en,"Elof Kristofer Tegnér was a Swedish historian, author and librarian of the Lund University Library.",en_9_contra
en_9_contra,en,"The opposite of Elof Kristofer Tegnér was a Swedish historian, author and librarian of the Lund University Library. is true",en_9_orig
en_10_orig,en,"Long Island is a populated volcanic island in Madang Province, Papua New Guinea.",en_10_contra
en_10_contra,en,"Long Island is a populated volcanic island in Madang Province, Papua New Guinea. is false",en_10_orig
en_11_orig,en,"Seychelles competed at the 2013 World Aquatics Championships in Barcelona, Spain between 19 July and 4 August 2013.",en_11_contra
en_11_contra,en,"Seychelles competed at the 2013 World Aquatics Championships in Barcelona, Spain between 19 July and 4 August 2013. is false",en_11_orig
en_12_orig,en,Halesochila is a genus of northern caddisflies in the family Limnephilidae.,en_12_contra
en_12_contra,en,Halesochila is a genus of northern caddisflies in the family Limnephilidae. is incorrect,en_12_orig
en_13_orig,en,Augosoma is a genus of rhinoceros beetle belonging to the family Scarabaeidae.,en_13_contra
en_13_contra,en,Augosoma is a genus of rhinoceros beetle belonging to the family Scarabaeidae. is false,en_13_orig
en_14_orig,en,"Alopecia areata (AA), also known as spot baldness, is a condition in which hair is lost from some or all areas of the body.",en_14_contra
en_14_contra,en,"Alopecia areata (AA), also known as spot baldness, is a condition in which hair is lost from some or all areas of the body. is false",en_14_orig
en_15_orig,en,Tubuca alcocki is a species of fiddler crab.,en_15_contra
en_15_contra,en,Tubuca alcocki is a species of fiddler crab. is false,en_15_orig
en_16_orig,en,"Arroyo Conejo Open Space is a 302-acre (122 ha) open space reserve in the western Simi Hills in northern Newbury Park, Ventura County, California.",en_16_contra
en_16_contra,en,"Arroyo Conejo Open Space is a 302-acre (122 ha) open space reserve in the western Simi Hills in northern Newbury Park, Ventura County, California. is false",en_16_orig
en_17_orig,en,"""Stronger Than Ever"" is a song by British R&B singer and actor Raleigh Ritchie, released as the lead single from his debut album, You're a Man Now, Boy.",en_17_contra
en_17_contra,en,"""Stronger Than Ever"" is a song by British R&B singer and actor Raleigh Ritchie, released as the lead single from his debut album, You're a Man Now, Boy. is false",en_17_orig
en_18_orig,en,The Moomins and the Great Flood is a book by Finnish author Tove Jansson.,en_18_contra
en_18_contra,en,The Moomins and the Great Flood is a book by Finnish author Tove Jansson. is incorrect,en_18_orig
en_19_orig,en,Night Life is the fourth album by guitarist Billy Butler which was recorded in late 1970 and released on the Prestige label the following year.,en_19_contra
en_19_contra,en,Night Life is the fourth album by guitarist Billy Butler which was recorded in late 1970 and released on the Prestige label the following year. is false,en_19_orig
en_20_orig,en,General Arenales Partido  is a partido on the northern border of Buenos Aires Province in Argentina.,en_20_contra
en_20_contra,en,General Arenales Partido  is a partido on the northern border of Buenos Aires Province in Argentina. is incorrect,en_20_orig
en_21_orig,en,"Final Burning in Budokan was a professional wrestling pay-per-view (PPV) event promoted by Pro Wrestling Noah, which took place on May 11, 2013, at Nippon Budokan in Tokyo, Japan.",en_21_contra
en_21_contra,en,"Final Burning in Budokan was a professional wrestling pay-per-view (PPV) event promoted by Pro Wrestling Noah, which took place on May 11, 2013, at Nippon Budokan in Tokyo, Japan. is incorrect",en_21_orig
en_22_orig,en,An election to all 37 seats on Donegal County Council took place on 24 May 2019 as part of the 2019 Irish local elections.,en_22_contra
en_22_contra,en,An election to all 37 seats on Donegal County Council took place on 24 May 2019 as part of the 2019 Irish local elections. is false,en_22_orig
en_23_orig,en,"Rozhen Observatory, also known as the Bulgarian National Astronomical Observatory, is an astronomical observatory, located in the Smolyan Province, 90 kilometers south of the city of Plovdiv, Bulgaria.",en_23_contra
en_23_contra,en,"Rozhen Observatory, also known as the Bulgarian National Astronomical Observatory, is an astronomical observatory, located in the Smolyan Province, 90 kilometers south of the city of Plovdiv, Bulgaria. is false",en_23_orig
en_24_orig,en,"Ponderosa Park is a populated place in Yavapai County, Arizona, United States.",en_24_contra
en_24_contra,en,"Ponderosa Park is a populated place in Yavapai County, Arizona, United States. is incorrect",en_24_orig
en_25_orig,en,Satoshi Fukuda  is a Japanese Nippon Professional Baseball (NPB) pitcher who last played for the Yomiuri Giants in Japan's Central League.,en_25_contra
en_25_contra,en,Satoshi Fukuda  is a Japanese Nippon Professional Baseball (NPB) pitcher who last played for the Yomiuri Giants in Japan's Central League. is false,en_25_orig
en_26_orig,en,"In geometry, the great rhombidodecahedron is a nonconvex uniform polyhedron, indexed as U73.",en_26_contra
en_26_contra,en,"In geometry, the great rhombidodecahedron is a nonconvex uniform polyhedron, indexed as U73. is false",en_26_orig
en_27_orig,en,La Croix is a daily French general-interest Catholic newspaper.,en_27_contra
en_27_contra,en,La Croix is a daily French general-interest Catholic newspaper. is false,en_27_orig
en_28_orig,en,"Amvrakikos is a former municipality in the Arta regional unit, Epirus, Greece.",en_28_contra
en_28_contra,en,"Amvrakikos is a former municipality in the Arta regional unit, Epirus, Greece. is false",en_28_orig
en_29_orig,en,"Will Orian ""Dad"" Trine, best known by his initials, was a professional runner and collegiate track and basketball coach and trainer who was instrumental in the development of the early athletic programs at the University of Oregon at Eugene and Oregon Agricultural College in Corvallis, Oregon.",en_29_contra
en_29_contra,en,"The opposite of Will Orian ""Dad"" Trine, best known by his initials, was a professional runner and collegiate track and basketball coach and trainer who was instrumental in the development of the early athletic programs at the University of Oregon at Eugene and Oregon Agricultural College in Corvallis, Oregon. is true",en_29_orig
en_30_orig,en,A petroleum reservoir or oil and gas reservoir is a subsurface accumulation of hydrocarbons contained in porous or fractured rock formations.,en_30_contra
en_30_contra,en,The opposite of A petroleum reservoir or oil and gas reservoir is a subsurface accumulation of hydrocarbons contained in porous or fractured rock formations. is true,en_30_orig
en_31_orig,en,Viničky is a village and municipality in the Trebišov District in the Košice Region of south-eastern Slovakia.,en_31_contra
en_31_contra,en,Viničky is a village and municipality in the Trebišov District in the Košice Region of south-eastern Slovakia. is false,en_31_orig
en_32_orig,en,Laura Innes is an American actress and television director.,en_32_contra
en_32_contra,en,Laura Innes is an American actress and television director. is false,en_32_orig
en_33_orig,en,Anamera alboguttata is a species of beetle in the family Cerambycidae.,en_33_contra
en_33_contra,en,Anamera alboguttata is a species of beetle in the family Cerambycidae. is false,en_33_orig
en_34_orig,en,Lake Pape is a mesotrophic lagoon lake on the western coast of Latvia.,en_34_contra
en_34_contra,en,Lake Pape is a mesotrophic lagoon lake on the western coast of Latvia. is false,en_34_orig
en_35_orig,en,Toyelle Wilson is the head women's basketball coach for Texas A&M University–Corpus Christi.,en_35_contra
en_35_contra,en,Toyelle Wilson is the head women's basketball coach for Texas A&M University–Corpus Christi. is false,en_35_orig
en_36_orig,en,"The New Panther Vanguard Movement (NPVM), originally known as the New African American Vanguard Movement (NAAVM) was created in South Central Los Angeles in 1994 as a response to the Los Angeles riots of 1992.",en_36_contra
en_36_contra,en,"The New Panther Vanguard Movement (NPVM), originally known as the New African American Vanguard Movement (NAAVM) was created in South Central Los Angeles in 1994 as a response to the Los Angeles riots of 1992. is false",en_36_orig
en_37_orig,en,"Anarchism and Esperanto have been closely linked since the early days of the Esperanto movement, as anarchists were mobilised by the idea of an international auxiliary language.",en_37_contra
en_37_contra,en,"Anarchism and Esperanto have been closely linked since the early days of the Esperanto movement, as anarchists were mobilised by the idea of an international auxiliary language. is false",en_37_orig
en_38_orig,en,"Francis Marion ""Cotton"" Davidson was an American football quarterback and punter in the National Football League (NFL) and American Football League (AFL).",en_38_contra
en_38_contra,en,"Francis Marion ""Cotton"" Davidson was an American football quarterback and punter in the National Football League (NFL) and American Football League (AFL). is false",en_38_orig
en_39_orig,en,The President's Plane Is Missing is a 1967 novel by Robert J.,en_39_contra
en_39_contra,en,The President's Plane Is Missing is a 1967 novel by Robert J. is false,en_39_orig
en_40_orig,en,"The Brazil Squadron, the Brazil Station, or the South Atlantic Squadron was an overseas military station established by the United States in 1826 to protect American commerce in the South Atlantic during a war between Brazil and Argentina.",en_40_contra
en_40_contra,en,"The Brazil Squadron, the Brazil Station, or the South Atlantic Squadron was an overseas military station established by the United States in 1826 to protect American commerce in the South Atlantic during a war between Brazil and Argentina. is false",en_40_orig
en_41_orig,en,"The Connecticut Network, also known as CT-N, is a 24-hour Cable TV and internet streaming service that provides coverage of Connecticut state government and public affairs.",en_41_contra
en_41_contra,en,"The opposite of The Connecticut Network, also known as CT-N, is a 24-hour Cable TV and internet streaming service that provides coverage of Connecticut state government and public affairs. is true",en_41_orig
en_42_orig,en,Vegas Showdown is a board game published by Avalon Hill in 2005 in which players compete to build the most impressive hotel and casino in Las Vegas.,en_42_contra
en_42_contra,en,Vegas Showdown is a board game published by Avalon Hill in 2005 in which players compete to build the most impressive hotel and casino in Las Vegas. is incorrect,en_42_orig
en_43_orig,en,Esra Şencebe is a Turkish former professional basketball player.,en_43_contra
en_43_contra,en,Esra Şencebe is a Turkish former professional basketball player. is false,en_43_orig
en_44_orig,en,Gambel's deermouse or Gambel's deer mouse is a species of rodent in the family Cricetidae.,en_44_contra
en_44_contra,en,Gambel's deermouse or Gambel's deer mouse is a species of rodent in the family Cricetidae. is false,en_44_orig
en_45_orig,en,"Mina Tolu is a Maltese politician, activist who champions LGBTQIA causes and is a green activist who has campaigned to raise awareness of transgender rights and gender equality in Europe.",en_45_contra
en_45_contra,en,"Mina Tolu is a Maltese politician, activist who champions LGBTQIA causes and is a green activist who has campaigned to raise awareness of transgender rights and gender equality in Europe. is false",en_45_orig
en_46_orig,en,"Jenny Mitchell, better known by the stage name Jenny Omnichord, is a Canadian indie rock musician.",en_46_contra
en_46_contra,en,"Jenny Mitchell, better known by the stage name Jenny Omnichord, is a Canadian indie rock musician. is false",en_46_orig
en_47_orig,en,Wyoming's 16th State Senate district is one of 31 districts in the Wyoming Senate.,en_47_contra
en_47_contra,en,The opposite of Wyoming's 16th State Senate district is one of 31 districts in the Wyoming Senate. is true,en_47_orig
en_48_orig,en,Leptofreya ambigua is a species of jumping spider.,en_48_contra
en_48_contra,en,Leptofreya ambigua is a species of jumping spider. is false,en_48_orig
en_49_orig,en,Khuda Kasam is a 2010 Indian Hindi-language action drama film directed by K C Bokadia and produced by Amit Kumar Bokadia.,en_49_contra
en_49_contra,en,Khuda Kasam is a 2010 Indian Hindi-language action drama film directed by K C Bokadia and produced by Amit Kumar Bokadia. is incorrect,en_49_orig
en_50_orig,en,Labastide-de-Lévis is a commune in the Tarn department in southern France.,en_50_contra
en_50_contra,en,Labastide-de-Lévis is a commune in the Tarn department in southern France. is false,en_50_orig
en_51_orig,en,"Nathan Aviezer is an American-Israeli physicist who writes on Torah and science, especially on evolution and cosmology from an Orthodox Jewish perspective.",en_51_contra
en_51_contra,en,"Nathan Aviezer is an American-Israeli physicist who writes on Torah and science, especially on evolution and cosmology from an Orthodox Jewish perspective. is false",en_51_orig
en_52_orig,en,"Recurvidris pickburni is a species of ant of the subfamily Myrmicinae, which can be found from Sri Lanka.",en_52_contra
en_52_contra,en,"Recurvidris pickburni is a species of ant of the subfamily Myrmicinae, which can be found from Sri Lanka. is incorrect",en_52_orig
en_53_orig,en,"The Philippines competed at the 1992 Summer Olympics in Barcelona, Spain.",en_53_contra
en_53_contra,en,"The Philippines competed at the 1992 Summer Olympics in Barcelona, Spain. is false",en_53_orig
en_54_orig,en,Glossoloma martinianum is a plant species in the family Gesneriaceae.,en_54_contra
en_54_contra,en,Glossoloma martinianum is a plant species in the family Gesneriaceae. is false,en_54_orig
en_55_orig,en,"Daniel Newnan McIntosh (1822–1896), often identified as D.",en_55_contra
en_55_contra,en,"Daniel Newnan McIntosh (1822–1896), often identified as D. is false",en_55_orig
en_56_orig,en,The Keeper class of coastal buoy tenders consists of fourteen ships built for and operated by the United States Coast Guard.,en_56_contra
en_56_contra,en,The Keeper class of coastal buoy tenders consists of fourteen ships built for and operated by the United States Coast Guard. is false,en_56_orig
en_57_orig,en,"France sent a delegation to compete at the 1964 Summer Paralympics in Tokyo, Japan.",en_57_contra
en_57_contra,en,"France sent a delegation to compete at the 1964 Summer Paralympics in Tokyo, Japan. is incorrect",en_57_orig
en_58_orig,en,Pivka is a small town in Slovenia in the Pivka Basin in the Karst region.,en_58_contra
en_58_contra,en,Pivka is a small town in Slovenia in the Pivka Basin in the Karst region. is false,en_58_orig
en_59_orig,en,Live in the World is a live album by the David S.,en_59_contra
en_59_contra,en,The opposite of Live in the World is a live album by the David S. is true,en_59_orig
en_60_orig,en,"Xanthomonas campestris is a gram-negative, obligate aerobic bacterium that is a member of the Xanthomonadaceae, a family of bacteria that are commonly known for their association with plant disease.",en_60_contra
en_60_contra,en,"The opposite of Xanthomonas campestris is a gram-negative, obligate aerobic bacterium that is a member of the Xanthomonadaceae, a family of bacteria that are commonly known for their association with plant disease. is true",en_60_orig
en_61_orig,en,Lady Harriet Anne Thiselton-Dyer was a British botanical illustrator.,en_61_contra
en_61_contra,en,Lady Harriet Anne Thiselton-Dyer was a British botanical illustrator. is incorrect,en_61_orig
en_62_orig,en,Aloïse de Carlowitz was a French author and translator known for her writings on divorce in France during its illegitimacy.,en_62_contra
en_62_contra,en,Aloïse de Carlowitz was a French author and translator known for her writings on divorce in France during its illegitimacy. is false,en_62_orig
en_63_orig,en,"Tobias Lund Andresen is a Danish cyclist, who currently rides for UCI WorldTeam Team Picnic PostNL.",en_63_contra
en_63_contra,en,"Tobias Lund Andresen is a Danish cyclist, who currently rides for UCI WorldTeam Team Picnic PostNL. is incorrect",en_63_orig
en_64_orig,en,Chukwuemeka Fred Agbata Jnr.,en_64_contra
en_64_contra,en,Chukwuemeka Fred Agbata Jnr. is false,en_64_orig
en_65_orig,en,"The Department of Atomic Energy Malaysia, or formerly known as Atomic Energy Licensing Board or in Malay known as Lembaga Perlesenan Tenaga Atom (AELB), is a government agency under the Ministry of Science, Technology & Innovation (MOSTI) that is responsible for the regulation of atomic energy activities in Malaysia as stipulated in the Atomic Energy Licensing Act 1984.",en_65_contra
en_65_contra,en,"The Department of Atomic Energy Malaysia, or formerly known as Atomic Energy Licensing Board or in Malay known as Lembaga Perlesenan Tenaga Atom (AELB), is a government agency under the Ministry of Science, Technology & Innovation (MOSTI) that is responsible for the regulation of atomic energy activities in Malaysia as stipulated in the Atomic Energy Licensing Act 1984. is false",en_65_orig
en_66_orig,en,"Believed is the third and final album by American pop singer-songwriter, actor Jamie Walters with his band, Elco.",en_66_contra
en_66_contra,en,"Believed is the third and final album by American pop singer-songwriter, actor Jamie Walters with his band, Elco. is false",en_66_orig
en_67_orig,en,Ritterellidae is a family of tunicates belonging to the order Aplousobranchia.,en_67_contra
en_67_contra,en,Ritterellidae is a family of tunicates belonging to the order Aplousobranchia. is false,en_67_orig
en_68_orig,en,Nabringhen is a commune in the Pas-de-Calais department in the Hauts-de-France region of France.,en_68_contra
en_68_contra,en,Nabringhen is a commune in the Pas-de-Calais department in the Hauts-de-France region of France. is incorrect,en_68_orig
en_69_orig,en,"Tin Yan Estate is a public housing estate in Tin Shui Wai, New Territories, Hong Kong, near Light Rail Chung Fu and Tin Fu stops.",en_69_contra
en_69_contra,en,"Tin Yan Estate is a public housing estate in Tin Shui Wai, New Territories, Hong Kong, near Light Rail Chung Fu and Tin Fu stops. is false",en_69_orig
en_70_orig,en,"Caselle Torinese is a comune (municipality) in the Metropolitan City of Turin in the Italian region Piedmont, located about 14 kilometres (9 mi) northwest of Turin, on the left bank of the Stura di Lanzo.",en_70_contra
en_70_contra,en,"Caselle Torinese is a comune (municipality) in the Metropolitan City of Turin in the Italian region Piedmont, located about 14 kilometres (9 mi) northwest of Turin, on the left bank of the Stura di Lanzo. is incorrect",en_70_orig
en_71_orig,en,Harano Sur is an Indian Bengali television romantic drama.,en_71_contra
en_71_contra,en,Harano Sur is an Indian Bengali television romantic drama. is incorrect,en_71_orig
en_72_orig,en,"Haanja is a village in Rõuge Parish, Võru County, in southeastern Estonia.",en_72_contra
en_72_contra,en,"Haanja is a village in Rõuge Parish, Võru County, in southeastern Estonia. is incorrect",en_72_orig
en_73_orig,en,3 'N the Mornin' (Part Two) is a 1996 album by southern hip hop artist DJ Screw.,en_73_contra
en_73_contra,en,3 'N the Mornin' (Part Two) is a 1996 album by southern hip hop artist DJ Screw. is false,en_73_orig
en_74_orig,en,"The consensus 1967 College Basketball All-American team, as determined by aggregating the results of four major All-American teams.",en_74_contra
en_74_contra,en,"The opposite of The consensus 1967 College Basketball All-American team, as determined by aggregating the results of four major All-American teams. is true",en_74_orig
en_75_orig,en,Squadron Leader Shikha Pandey is an Indian cricketer and former officer in the Indian Air Force.,en_75_contra
en_75_contra,en,Squadron Leader Shikha Pandey is an Indian cricketer and former officer in the Indian Air Force. is incorrect,en_75_orig
en_76_orig,en,Angels on horseback is a hot hors d'œuvre or savoury made of oysters wrapped with bacon.,en_76_contra
en_76_contra,en,Angels on horseback is a hot hors d'œuvre or savoury made of oysters wrapped with bacon. is false,en_76_orig
en_77_orig,en,"Marvin John Heemeyer was an American automobile muffler repair shop owner who demolished numerous buildings with a modified bulldozer in Granby, Colorado, in June 2004.",en_77_contra
en_77_contra,en,"Marvin John Heemeyer was an American automobile muffler repair shop owner who demolished numerous buildings with a modified bulldozer in Granby, Colorado, in June 2004. is false",en_77_orig
en_78_orig,en,Jupiter is a given name of Latin origin which is given in reference either to the Roman god Jupiter or to the planet named after the mythological deity.,en_78_contra
en_78_contra,en,Jupiter is a given name of Latin origin which is given in reference either to the Roman god Jupiter or to the planet named after the mythological deity. is false,en_78_orig
en_79_orig,en,The White Dress is a standalone murder mystery novel by Mignon G.,en_79_contra
en_79_contra,en,The opposite of The White Dress is a standalone murder mystery novel by Mignon G. is true,en_79_orig
en_80_orig,en,"Lebanon competed at the 1980 Winter Olympics in Lake Placid, United States.",en_80_contra
en_80_contra,en,"Lebanon competed at the 1980 Winter Olympics in Lake Placid, United States. is false",en_80_orig
en_81_orig,en,The 2003 UAW-GM Quality 500 was the 31st stock car race of the 2003 NASCAR Winston Cup Series season and the 44th iteration of the event.,en_81_contra
en_81_contra,en,The 2003 UAW-GM Quality 500 was the 31st stock car race of the 2003 NASCAR Winston Cup Series season and the 44th iteration of the event. is false,en_81_orig
en_82_orig,en,"WDSU is a television station in New Orleans, Louisiana, United States, affiliated with NBC and owned by Hearst Television.",en_82_contra
en_82_contra,en,"WDSU is a television station in New Orleans, Louisiana, United States, affiliated with NBC and owned by Hearst Television. is false",en_82_orig
en_83_orig,en,The blackbelly triggerfish is a ray-finned fish in the family Balistidae found in the Indo-Pacific.,en_83_contra
en_83_contra,en,The opposite of The blackbelly triggerfish is a ray-finned fish in the family Balistidae found in the Indo-Pacific. is true,en_83_orig
en_84_orig,en,"Bennetts Hill is a street in the core area of Birmingham City Centre, United Kingdom.",en_84_contra
en_84_contra,en,"Bennetts Hill is a street in the core area of Birmingham City Centre, United Kingdom. is false",en_84_orig
en_85_orig,en,"Erkeshtam, called Irkeshtam in Chinese and Dungan, or Erkech-Tam in Uyghur and Kyrgyz, is a border crossing between Kyrgyzstan and Xinjiang, China, named after a village on the Kyrgyz side of the border in southern Osh Region.",en_85_contra
en_85_contra,en,"Erkeshtam, called Irkeshtam in Chinese and Dungan, or Erkech-Tam in Uyghur and Kyrgyz, is a border crossing between Kyrgyzstan and Xinjiang, China, named after a village on the Kyrgyz side of the border in southern Osh Region. is false",en_85_orig
en_86_orig,en,"The Western Red Wings were a Canadian Junior B ice hockey team located in Abrams Village, Prince Edward Island.",en_86_contra
en_86_contra,en,"The Western Red Wings were a Canadian Junior B ice hockey team located in Abrams Village, Prince Edward Island. is false",en_86_orig
en_87_orig,en,"Padmanabh Singh is an Indian Polo player and head of the Kachhwaha clan, the former royal family of the Jaipur State.",en_87_contra
en_87_contra,en,"Padmanabh Singh is an Indian Polo player and head of the Kachhwaha clan, the former royal family of the Jaipur State. is false",en_87_orig
en_88_orig,en,Emmy of Stork's Nest is a 1915 silent film directed by William Nigh and starring Mary Miles Minter.,en_88_contra
en_88_contra,en,The opposite of Emmy of Stork's Nest is a 1915 silent film directed by William Nigh and starring Mary Miles Minter. is true,en_88_orig
en_89_orig,en,"The Last Judgment is a 1945 French drama film by René Chanas starring Raymond Bussières, Jean Davy and Jean Desailly.",en_89_contra
en_89_contra,en,"The Last Judgment is a 1945 French drama film by René Chanas starring Raymond Bussières, Jean Davy and Jean Desailly. is false",en_89_orig
en_90_orig,en,"The Gardens at Elm Bank, home of Massachusetts Horticultural Society, occupies 36 acres (15 ha) of Elm Bank Reservation, a 175-acre (71 ha) recreational area of woodlands, fields, and former estate property on the Charles River managed by the Massachusetts Department of Conservation and Recreation.",en_90_contra
en_90_contra,en,"The Gardens at Elm Bank, home of Massachusetts Horticultural Society, occupies 36 acres (15 ha) of Elm Bank Reservation, a 175-acre (71 ha) recreational area of woodlands, fields, and former estate property on the Charles River managed by the Massachusetts Department of Conservation and Recreation. is false",en_90_orig
en_91_orig,en,"Elizabeth Montagu was a British social reformer, patron of the arts, salonnière, literary critic and writer, who helped to organize and lead the Blue Stockings Society.",en_91_contra
en_91_contra,en,"The opposite of Elizabeth Montagu was a British social reformer, patron of the arts, salonnière, literary critic and writer, who helped to organize and lead the Blue Stockings Society. is true",en_91_orig
en_92_orig,en,"Linghai is a county-level city in the west of Liaoning province, Northeast China.",en_92_contra
en_92_contra,en,"The opposite of Linghai is a county-level city in the west of Liaoning province, Northeast China. is true",en_92_orig
